Feature,Importance
V14,0.20470236507374553
V4,0.11635522527152892
V10,0.08865756385627412
V17,0.07627022882480439
V12,0.07543496706462063
V11,0.07001694986198391
V16,0.05616644850393805
V3,0.04743702421924092
V7,0.03984556103228042
V21,0.026362229789067448
V2,0.026103254430547382
V18,0.019750358486741122
V9,0.016463701287266486
V1,0.014276876065350703
V19,0.01212814716534493
V5,0.011875070669725532
V8,0.011279223818129179
V6,0.010377111107941803
V27,0.008435433247916827
V13,0.007123360131853171
V26,0.006655699428991511
V20,0.006504197237053293
Time,0.006464846358165659
V28,0.0062484669513281485
V25,0.0062267047519893
Amount,0.0054751778864402445
V15,0.005227969329733958
V23,0.004940548410688308
LogAmount,0.004790999781825904
V22,0.004451627669454844
V24,0.003929264704550387
Transaction_Velocity,2.3397581477017686e-05
Hour,0.0
TimePeriod,0.0
AmountCategory,0.0
